Id_vente;montant;date;Id_bien_immobilier
407;148500;2020-01-06 00:00:00;407
408;372841;2020-01-06 00:00:00;408
409;80000;2020-01-06 00:00:00;409
410;182500;2020-01-06 00:00:00;410
411;103000;2020-01-06 00:00:00;411
412;51000;2020-01-06 00:00:00;412
413;134500;2020-01-06 00:00:00;413
414;39000;2020-01-06 00:00:00;414
415;134000;2020-01-06 00:00:00;415
416;168636,6;2020-01-06 00:00:00;416
417;291150;2020-01-06 00:00:00;417
418;265000;2020-01-06 00:00:00;418
419;156350;2020-01-06 00:00:00;419
420;254800;2020-01-06 00:00:00;420
421;196800;2020-01-06 00:00:00;421
422;166000;2020-01-06 00:00:00;422
423;644000;2020-01-06 00:00:00;423
424;388326;2020-01-06 00:00:00;424
425;186000;2020-01-06 00:00:00;425
426;185000;2020-01-06 00:00:00;426
427;164000;2020-01-06 00:00:00;427
428;391200;2020-01-06 00:00:00;428
429;476469;2020-01-06 00:00:00;429
430;380000;2020-01-06 00:00:00;430
431;910000;2020-01-06 00:00:00;431
432;645000;2020-01-06 00:00:00;432
433;825750;2020-01-06 00:00:00;433
434;1225000;2020-01-06 00:00:00;434
435;460000;2020-01-06 00:00:00;435
436;335000;2020-01-06 00:00:00;436
437;518192;2020-01-06 00:00:00;437
438;345000;2020-01-06 00:00:00;438
439;345000;2020-01-06 00:00:00;439
440;423100;2020-01-06 00:00:00;440
441;350000;2020-01-06 00:00:00;441
442;606820;2020-01-06 00:00:00;442
443;121000;2020-01-06 00:00:00;443
444;1550000;2020-01-06 00:00:00;444
445;354750;2020-01-06 00:00:00;445
446;377000;2020-01-06 00:00:00;446
447;319000;2020-01-06 00:00:00;447
448;240000;2020-01-06 00:00:00;448
449;160000;2020-01-06 00:00:00;449
450;153000;2020-01-06 00:00:00;450
451;187000;2020-01-06 00:00:00;451
452;408000;2020-01-06 00:00:00;452
453;435000;2020-01-06 00:00:00;453
454;1400000;2020-01-06 00:00:00;454
455;281000;2020-01-06 00:00:00;455
456;267000;2020-01-06 00:00:00;456
457;420600;2020-01-06 00:00:00;457
458;197050;2020-01-06 00:00:00;458
459;109000;2020-01-06 00:00:00;459
460;195000;2020-01-06 00:00:00;460
461;129000;2020-01-06 00:00:00;461
462;389980;2020-01-06 00:00:00;462
463;100000;2020-01-06 00:00:00;463
464;240750;2020-01-06 00:00:00;464
465;225000;2020-01-06 00:00:00;465
466;244783,25;2020-01-06 00:00:00;466
467;189800;2020-01-06 00:00:00;467
468;137000;2020-01-06 00:00:00;468
469;168500;2020-01-06 00:00:00;469
470;252000;2020-01-06 00:00:00;470
471;285500;2020-01-06 00:00:00;471
472;165000;2020-01-06 00:00:00;472
473;660000;2020-01-06 00:00:00;473
474;1690000;2020-01-06 00:00:00;474
475;130000;2020-01-06 00:00:00;475
476;179500;2020-01-06 00:00:00;476
477;181230;2020-01-06 00:00:00;477
478;212500;2020-01-06 00:00:00;478
479;208000;2020-01-06 00:00:00;479
480;106574,1;2020-01-06 00:00:00;480
481;368000;2020-01-06 00:00:00;481
482;1829700;2020-01-06 00:00:00;482
483;380000;2020-01-06 00:00:00;483
484;3380000;2020-01-06 00:00:00;484
485;334450;2020-01-06 00:00:00;485
486;1565002;2020-01-06 00:00:00;486
487;800000;2020-01-06 00:00:00;487
488;506500;2020-01-06 00:00:00;488
489;362050;2020-01-06 00:00:00;489
490;601400;2020-01-06 00:00:00;490
491;482000;2020-01-06 00:00:00;491
492;204650;2020-01-06 00:00:00;492
493;1475700;2020-01-06 00:00:00;493
494;295700;2020-01-06 00:00:00;494
495;596650;2020-01-06 00:00:00;495
496;362300;2020-01-06 00:00:00;496
497;551800;2020-01-06 00:00:00;497
498;688292;2020-01-06 00:00:00;498
499;471000;2020-01-06 00:00:00;499
500;95000;2020-01-06 00:00:00;500
501;590000;2020-01-06 00:00:00;501
502;533000;2020-01-06 00:00:00;502
503;607500;2020-01-06 00:00:00;503
504;126000;2020-01-06 00:00:00;504
505;7420000;2020-01-06 00:00:00;505
506;328950;2020-01-06 00:00:00;506
507;1188000;2020-01-06 00:00:00;507
508;552800;2020-01-06 00:00:00;508
509;532000;2020-01-06 00:00:00;509
510;352500;2020-01-06 00:00:00;510
511;276930;2020-01-06 00:00:00;511
512;343000;2020-01-06 00:00:00;512
513;1613000;2020-01-06 00:00:00;513
514;112000;2020-01-06 00:00:00;514
515;403000;2020-01-06 00:00:00;515
516;449000;2020-01-06 00:00:00;516
517;220900;2020-01-07 00:00:00;517
518;262000;2020-01-07 00:00:00;518
519;212150;2020-01-07 00:00:00;519
520;131990;2020-01-07 00:00:00;520
521;405000;2020-01-07 00:00:00;521
522;198000;2020-01-07 00:00:00;522
523;233000;2020-01-07 00:00:00;523
524;73500;2020-01-07 00:00:00;524
525;133950;2020-01-07 00:00:00;525
526;581097,6;2020-01-07 00:00:00;526
527;151000;2020-01-07 00:00:00;527
528;245000;2020-01-07 00:00:00;528
529;66000;2020-01-07 00:00:00;529
530;42500;2020-01-07 00:00:00;530
531;59000;2020-01-07 00:00:00;531
532;140000;2020-01-07 00:00:00;532
533;51000;2020-01-07 00:00:00;533
534;66820;2020-01-07 00:00:00;534
535;140000;2020-01-07 00:00:00;535
536;75000;2020-01-07 00:00:00;536
537;169600;2020-01-07 00:00:00;537
538;172000;2020-01-07 00:00:00;538
539;12000;2020-01-07 00:00:00;539
540;82500;2020-01-07 00:00:00;540
541;74900;2020-01-07 00:00:00;541
542;107000;2020-01-07 00:00:00;542
543;159000;2020-01-07 00:00:00;543
544;87000;2020-01-07 00:00:00;544
545;361000;2020-01-07 00:00:00;545
546;257965;2020-01-07 00:00:00;546
547;162000;2020-01-07 00:00:00;547
548;150000;2020-01-07 00:00:00;548
549;218000;2020-01-07 00:00:00;549
550;88000;2020-01-07 00:00:00;550
551;123000;2020-01-07 00:00:00;551
552;97000;2020-01-07 00:00:00;552
553;39000;2020-01-07 00:00:00;553
554;34450;2020-01-07 00:00:00;554
555;80300;2020-01-07 00:00:00;555
556;102000;2020-01-07 00:00:00;556
557;92600;2020-01-07 00:00:00;557
558;59000;2020-01-07 00:00:00;558
559;111800;2020-01-07 00:00:00;559
560;84500;2020-01-07 00:00:00;560
561;51500;2020-01-07 00:00:00;561
562;73773,58;2020-01-07 00:00:00;562
563;371500;2020-01-07 00:00:00;563
564;166450;2020-01-07 00:00:00;564
565;165000;2020-01-07 00:00:00;565
566;233000;2020-01-07 00:00:00;566
567;60000;2020-01-07 00:00:00;567
568;123000;2020-01-07 00:00:00;568
569;204620;2020-01-07 00:00:00;569
570;118400;2020-01-07 00:00:00;570
571;150400;2020-01-07 00:00:00;571
572;216000;2020-01-07 00:00:00;572
573;144310;2020-01-07 00:00:00;573
574;69000;2020-01-07 00:00:00;574
575;76400;2020-01-07 00:00:00;575
576;128420;2020-01-07 00:00:00;576
577;80750;2020-01-07 00:00:00;577
578;196400;2020-01-07 00:00:00;578
579;602500;2020-01-07 00:00:00;579
580;192000;2020-01-07 00:00:00;580
581;283050;2020-01-07 00:00:00;581
582;57000;2020-01-07 00:00:00;582
583;61610;2020-01-07 00:00:00;583
584;84800;2020-01-07 00:00:00;584
585;86980;2020-01-07 00:00:00;585
586;253000;2020-01-07 00:00:00;586
587;45600;2020-01-07 00:00:00;587
588;56500;2020-01-07 00:00:00;588
589;245230;2020-01-07 00:00:00;589
590;92000;2020-01-07 00:00:00;590
591;179900;2020-01-07 00:00:00;591
592;119000;2020-01-07 00:00:00;592
593;98000;2020-01-07 00:00:00;593
594;127000;2020-01-07 00:00:00;594
595;167300;2020-01-07 00:00:00;595
596;92000;2020-01-07 00:00:00;596
597;143300;2020-01-07 00:00:00;597
598;52000;2020-01-07 00:00:00;598
599;137900;2020-01-07 00:00:00;599
600;172900;2020-01-07 00:00:00;600
601;132197;2020-01-07 00:00:00;601
602;11000;2020-01-07 00:00:00;602
603;585000;2020-01-07 00:00:00;603
604;67500;2020-01-07 00:00:00;604
605;120000;2020-01-07 00:00:00;605
606;31500;2020-01-07 00:00:00;606
607;275000;2020-01-07 00:00:00;607
608;74000;2020-01-07 00:00:00;608
609;261470;2020-01-07 00:00:00;609
610;196500;2020-01-07 00:00:00;610
611;630000;2020-01-07 00:00:00;611
612;142040;2020-01-07 00:00:00;612
613;183400;2020-01-07 00:00:00;613
614;170000;2020-01-07 00:00:00;614
615;209750;2020-01-07 00:00:00;615
616;90000;2020-01-07 00:00:00;616
617;207200;2020-01-07 00:00:00;617
618;40000;2020-01-07 00:00:00;618
619;266000;2020-01-07 00:00:00;619
620;223090;2020-01-07 00:00:00;620
621;231000;2020-01-07 00:00:00;621
622;189000;2020-01-07 00:00:00;622
623;145000;2020-01-07 00:00:00;623
624;337000;2020-01-07 00:00:00;624
625;192500;2020-01-07 00:00:00;625
626;108600;2020-01-07 00:00:00;626
627;287000;2020-01-07 00:00:00;627
628;111500;2020-01-07 00:00:00;628
629;468000;2020-01-07 00:00:00;629
630;132500;2020-01-07 00:00:00;630
631;423000;2020-01-07 00:00:00;631
632;200000;2020-01-07 00:00:00;632
633;70000;2020-01-07 00:00:00;633
634;371270;2020-01-07 00:00:00;634
635;175000;2020-01-07 00:00:00;635
636;47500;2020-01-07 00:00:00;636
637;116000;2020-01-07 00:00:00;637
638;78500;2020-01-07 00:00:00;638
639;234000;2020-01-07 00:00:00;639
640;421280;2020-01-07 00:00:00;640
641;138500;2020-01-07 00:00:00;641
642;71500;2020-01-07 00:00:00;642
643;540000;2020-01-07 00:00:00;643
644;339200;2020-01-07 00:00:00;644
645;199120;2020-01-07 00:00:00;645
646;202500;2020-01-07 00:00:00;646
647;220000;2020-01-07 00:00:00;647
648;201813;2020-01-07 00:00:00;648
649;315000;2020-01-07 00:00:00;649
650;514142;2020-01-07 00:00:00;650
651;149000;2020-01-07 00:00:00;651
652;35000;2020-01-07 00:00:00;652
653;1250000;2020-01-07 00:00:00;653
654;680000;2020-01-07 00:00:00;654
655;459000;2020-01-07 00:00:00;655
656;312000;2020-01-07 00:00:00;656
657;519000;2020-01-07 00:00:00;657
658;324000;2020-01-07 00:00:00;658
659;308729;2020-01-07 00:00:00;659
660;554690;2020-01-07 00:00:00;660
661;720000;2020-01-08 00:00:00;661
662;190000;2020-01-08 00:00:00;662
663;340750;2020-01-08 00:00:00;663
664;415000;2020-01-08 00:00:00;664
665;214700;2020-01-08 00:00:00;665
666;195000;2020-01-08 00:00:00;666
667;97500;2020-01-08 00:00:00;667
668;146880;2020-01-08 00:00:00;668
669;309000;2020-01-08 00:00:00;669
670;620000;2020-01-08 00:00:00;670
671;241030;2020-01-08 00:00:00;671
672;490000;2020-01-08 00:00:00;672
673;205000;2020-01-08 00:00:00;673
674;95000;2020-01-08 00:00:00;674
675;57000;2020-01-08 00:00:00;675
676;48420;2020-01-08 00:00:00;676
677;93500;2020-01-08 00:00:00;677
678;40000;2020-01-08 00:00:00;678
679;75500;2020-01-08 00:00:00;679
680;105000;2020-01-08 00:00:00;680
681;98000;2020-01-08 00:00:00;681
682;119800;2020-01-08 00:00:00;682
683;187000;2020-01-08 00:00:00;683
684;68000;2020-01-08 00:00:00;684
685;85000;2020-01-08 00:00:00;685
686;65748;2020-01-08 00:00:00;686
687;76500;2020-01-08 00:00:00;687
688;215000;2020-01-08 00:00:00;688
689;201400;2020-01-08 00:00:00;689
690;223400;2020-01-08 00:00:00;690
691;242000;2020-01-08 00:00:00;691
692;152000;2020-01-08 00:00:00;692
693;148000;2020-01-08 00:00:00;693
694;22000;2020-01-08 00:00:00;694
